leg_id,full_name,chamber,district,party
TXL000190,Craig Estes,upper,30,Republican
TXL000195,Juan Hinojosa,upper,20,Democrat
TXL000196,Joan Huffman,upper,17,Republican
TXL000198,"Eddie Lucio, Jr.",upper,27,Democrat
TXL000199,Jane Nelson,upper,12,Republican
TXL000200,Robert Nichols,upper,3,Republican
TXL000202,Dan Patrick,,NA,
TXL000203,Kel Seliger,upper,31,Republican
TXL000206,Carlos Uresti,upper,19,Democrat
TXL000208,Kirk Watson,upper,14,Democrat
TXL000210,Royce West,upper,23,Democrat
TXL000211,John Whitmire,upper,15,Democrat
TXL000213,Judith Zaffirini,upper,21,Democrat
TXL000214,Alma Allen,lower,131,Democrat
TXL000215,Roberto Alonzo,lower,104,Democrat
TXL000216,Carol Alvarado,lower,145,Democrat
TXL000217,Rafael Anchia,lower,103,Democrat
TXL000218,Charles Anderson,lower,56,Republican
TXL000221,Dwayne Bohac,lower,138,Republican
TXL000223,Dennis Bonnen,lower,25,Republican
TXL000228,Angie Chen Button,lower,112,Republican
TXL000235,Garnet Coleman,lower,147,Democrat
TXL000236,Byron Cook,lower,8,Republican
TXL000239,Tom Craddick,lower,82,Republican
TXL000240,Brandon Creighton,upper,4,Republican
TXL000242,Drew Darby,lower,72,Republican
TXL000244,Yvonne Davis,lower,111,Democrat
TXL000245,Joe Deshotel,lower,22,Democrat
TXL000247,Dawnna Dukes,lower,46,Democrat
TXL000249,Harold Dutton Jr.,lower,142,Democrat
TXL000253,Gary Elkins,lower,135,Republican
TXL000257,Jessica Farrar,lower,148,Democrat
TXL000260,Dan Flynn,lower,2,Republican
TXL000264,Charlie Geren,lower,99,Republican
TXL000265,Helen Giddings,lower,109,Democrat
TXL000268,Ryan Guillen,lower,31,Democrat
TXL000269,Roland Gutierrez,lower,119,Democrat
TXL000271,Kelly Hancock,upper,9,Republican
TXL000277,Ana Hernandez,lower,143,Democrat
TXL000278,Abel Herrero,lower,34,Democrat
TXL000283,Donna Howard,lower,48,Democrat
TXL000286,Todd Hunter,lower,32,Republican
TXL000289,Eric Johnson,lower,100,Democrat
TXL000294,Tracy King,lower,80,Democrat
TXL000295,Phil King,lower,61,Republican
TXL000297,Lois Kolkhorst,upper,18,Republican
TXL000299,Jodie Laubenberg,lower,89,Republican
TXL000308,Armando Martinez,lower,39,Democrat
TXL000312,Jose Menindez,upper,26,Democrat
TXL000317,Joseph Moody,lower,78,Democrat
TXL000318,Geanie Morrison,lower,30,Republican
TXL000320,Rene Oliveira,lower,37,Democrat
TXL000325,Tan Parker,lower,63,Republican
TXL000329,Larry Phillips,lower,62,Republican
TXL000331,Joe Pickett,lower,79,Democrat
TXL000334,Richard Pelta Raymond,lower,42,Democrat
TXL000338,Eddie Rodriguez,lower,51,Democrat
TXL000344,John Smithee,lower,86,Republican
TXL000347,Joe Straus,lower,121,Republican
TXL000349,Larry Taylor,upper,11,Republican
TXL000350,Van Taylor,upper,8,Republican
TXL000352,Senfronia Thompson,lower,141,Democrat
TXL000354,Chris Turner,lower,101,Democrat
TXL000359,Hubert Vo,lower,149,Democrat
TXL000360,Armando Walle,lower,140,Democrat
TXL000363,John Zerwas,lower,28,Republican
TXL000364,Brian Birdwell,upper,22,Republican
TXL000370,Rodney Anderson,lower,105,Republican
TXL000373,Cindy Burkett,lower,113,Republican
TXL000378,Sarah Davis,lower,134,Republican
TXL000379,John Frullo,lower,84,Republican
TXL000381,Larry Gonzales,lower,52,Republican
TXL000385,Dan Huberty,lower,127,Republican
TXL000386,Jason Isaac,lower,45,Republican
TXL000387,John Kuempel,lower,44,Republican
TXL000389,Lyle Larson,lower,122,Republican
TXL000391,J. M. Lozano,lower,43,Republican
TXL000396,Sergio Multoz Jr.,lower,36,Democrat
TXL000397,Jim Murphy,lower,133,Republican
TXL000400,Charles Perry,upper,28,Republican
TXL000402,Four Price,lower,87,Republican
TXL000404,Ron Reynolds,lower,27,Democrat
TXL000405,Charles Schwertner,upper,5,Republican
TXL000410,James White,lower,19,Republican
TXL000411,Paul Workman,lower,47,Republican
TXL000412,William Zedler,lower,96,Republican
TXL000414,"Jose R. Rodriguez	",upper,29,Democrat
TXL000415,"Raney, John",lower,14,Republican
TXL000419,Donna Campbell,upper,25,Republican
TXL000424,"Ashby, Trent",lower,57,Republican
TXL000425,"Bell, Cecil",lower,3,Republican
TXL000426,"Bonnen, Greg",lower,24,Republican
TXL000428,"Canales, Terry",lower,40,Democrat
TXL000429,"Capriglione, Giovanni",lower,98,Republican
TXL000430,"Clardy, Travis",lower,11,Republican
TXL000431,"Collier, Nicole",lower,95,Democrat
TXL000433,"Dale, Tony",lower,136,Republican
TXL000434,"Fallon, Pat",lower,106,Republican
TXL000436,"Frank, James",lower,69,Republican
TXL000437,"Goldman, Craig",lower,97,Republican
TXL000438,"Gonzalez, Mary",lower,75,Democrat
TXL000439,"Guerra, Bobby",lower,41,Democrat
TXL000441,"Kacal, Kyle",lower,12,Republican
TXL000442,"King, Ken",lower,88,Republican
TXL000443,"Klick, Stephanie",lower,91,Republican
TXL000444,"Krause, Matt",lower,93,Republican
TXL000445,"Leach, Jeff",lower,67,Republican
TXL000446,"Longoria, Oscar",lower,35,Democrat
TXL000449,"Miller, Rick",lower,26,Republican
TXL000452,"Nevalrez, Poncho",lower,74,Democrat
TXL000454,"Paddie, Chris",lower,9,Republican
TXL000457,"Rodriguez, Justin",lower,125,Democrat
TXL000458,"Rose, Toni",lower,110,Democrat
TXL000459,"Sanford, Scott",lower,70,Republican
TXL000460,"Schaefer, Matt",lower,6,Republican
TXL000461,"Sheffield, J. D.",lower,59,Republican
TXL000462,"Simmons, Ron",lower,65,Republican
TXL000463,"Springer, Drew",lower,68,Republican
TXL000464,"Stephenson, Phil",lower,85,Republican
TXL000465,"Stickland, Jonathan",lower,92,Republican
TXL000466,"Thompson, Ed",lower,29,Republican
TXL000470,"Villalba, Jason",lower,114,Republican
TXL000472,"Wu, Gene",lower,137,Democrat
TXL000473,Sylvia R. Garcia,upper,6,Democrat
TXL000475,"Israel, Celia",lower,50,Democrat
TXL000479,Don Huffines,upper,16,Republican
TXL000480,"Murr, Andrew",lower,53,Republican
TXL000481,"Wray, John",lower,10,Republican
TXL000482,Paul Bettencourt,upper,7,Republican
TXL000484,"Paul, Dennis",lower,129,Republican
TXL000485,"Keough, Mark",lower,15,Republican
TXL000487,Konni Burton,upper,10,Republican
TXL000490,"Landgraf, Brooks",lower,81,Republican
TXL000491,"Koop, Linda",lower,102,Republican
TXL000493,"Rinaldi, Matt",lower,115,Republican
TXL000494,"VanDeaver, Gary",lower,1,Republican
TXL000495,"Shaheen, Matt",lower,66,Republican
TXL000496,"Phelan, Dade",lower,21,Republican
TXL000497,"Blanco, Clesar",lower,76,Democrat
TXL000499,"Tinderholt, Tony",lower,94,Republican
TXL000500,"Burrows, Dustin",lower,83,Republican
TXL000502,"Metcalf, Will",lower,16,Republican
TXL000503,Bob Hall,upper,2,Republican
TXL000504,"Meyer, Morgan",lower,108,Republican
TXL000506,"Faircloth, Wayne",lower,23,Republican
TXL000507,"Burns, DeWayne",lower,58,Republican
TXL000509,"Romero, Ramon",lower,90,Democrat
TXL000510,"Schofield, Mike",lower,132,Republican
TXL000516,"Cyrier, John P.",lower,17,Republican
TXL000517,"Bernal, Diego M.",lower,123,Democrat
TXL000519,"Minjarez, Ina",lower,124,Democrat
TXL000672,"Johnson, Jarvis",lower,139,Democrat
TXL000673,"Schubert, Leighton",lower,13,Republican
TXL000675,"Lang, Mike",lower,60,Republican
TXL000676,"Cortez, Philip",lower,117,Democrat
TXL000677,"Biedermann, Kyle",lower,73,Republican
TXL000678,"Wilson, Terry",lower,20,Republican
TXL000679,"Perez, Mary Ann",lower,144,Democrat
TXL000680,"Stucky, Lynn",lower,64,Republican
TXL000681,"Lambert, Stan",lower,71,Republican
TXL000682,"Ortega, Evelina Lina",lower,77,Democrat
TXL000683,"Arcivalo, Diana",lower,116,Democrat
TXL000684,"Neave, Victoria",lower,107,Democrat
TXL000685,"Shine, Hugh",lower,55,Republican
TXL000686,"Gervin-Hawkins, Barbara",lower,120,Democrat
TXL000687,"Oliverson, Tom",lower,130,Republican
TXL000688,"Roberts, Kevin",lower,126,Republican
TXL000689,"Hefner, Cole",lower,5,Republican
TXL000690,"Holland, Justin",lower,33,Republican
TXL000691,"Dean, Jay",lower,7,Republican
TXL000692,"Hinojosa, Gina",lower,49,Democrat
TXL000693,"Bailes, Ernest",lower,18,Republican
TXL000694,"Swanson, Valoree",lower,150,Republican
TXL000695,"Gooden, Lance",lower,4,Republican
TXL000696,"Cain, Briscoe",lower,128,Republican
TXL000697,"Cosper, Scott",lower,54,Republican
TXL000698,"Uresti, Tomas",lower,118,Democrat
TXL000699,"Thierry, Shawn",lower,146,Democrat
TXL000705,Dawn Buckingham,upper,24,Republican
TXL000707,Borris L. Miles,upper,13,Democrat
TXL000716,Bryan Hughes,upper,1,Republican
TXL000717,Eddie Lucio III,lower,38,Democrat